,PS_F,PS_C,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
8365,1.719,2.21,challenger,challenger,0.5076076248902726,0.4923923751097274
8366,1.385,3.25,challenger,favori,0.22017227597909816,0.7798277240209018
8367,1.746,2.18,favori,favori,0.1935879764037799,0.8064120235962201
8371,2.06,1.82,favori,favori,0.29587313017430694,0.7041268698256931
8372,1.455,2.9,favori,challenger,0.5481027442565702,0.4518972557434298
8373,2.91,1.463,challenger,favori,0.4939868021350171,0.5060131978649829
8375,1.885,1.971,favori,challenger,0.5034143792451129,0.49658562075488716
8376,1.82,2.06,favori,favori,0.19378602572922565,0.8062139742707743
8377,1.131,6.85,favori,challenger,0.5443800375372354,0.4556199624627646
8378,2.24,1.714,challenger,favori,0.27778107704579025,0.7222189229542098
8380,1.241,4.55,favori,favori,0.2101741331698046,0.7898258668301954
8381,2.17,1.7519999999999998,favori,favori,0.45854296400339467,0.5414570359966053
8382,1.73,2.21,favori,favori,0.22907092670070783,0.7709290732992922
8383,1.459,2.93,favori,favori,0.43564549372959893,0.5643545062704011
8385,2.0,1.862,challenger,favori,0.41741837422634887,0.5825816257736511
8386,1.154,5.85,favori,challenger,0.5275771653267882,0.47242283467321183
8387,1.133,6.5,favori,favori,0.2383254654453858,0.7616745345546142
8389,1.148,6.0,favori,favori,0.3467944111674284,0.6532055888325716
8390,1.901,1.952,challenger,favori,0.09158850653903505,0.908411493460965
8391,1.529,2.69,favori,favori,0.08105610710283029,0.9189438928971697
8392,1.465,2.9,challenger,favori,0.32173305272295627,0.6782669472770437
8393,1.392,3.25,challenger,favori,0.4887355717034473,0.5112644282965527
8394,1.143,6.25,favori,favori,0.3247413841564081,0.6752586158435919
8397,1.392,3.25,favori,favori,0.18816933732688812,0.8118306626731119
8398,1.971,1.885,challenger,challenger,0.5449319664142576,0.4550680335857425
8399,1.69,2.27,favori,challenger,0.5985530424714323,0.40144695752856774
8400,1.513,2.75,favori,favori,0.11145084076448708,0.8885491592355129
8402,2.3,1.676,challenger,favori,0.3184500013746585,0.6815499986253415
8403,1.526,2.7,favori,favori,0.2889505894445813,0.7110494105554187
8404,1.592,2.51,favori,favori,0.4912388558202251,0.5087611441797749
8406,2.4,1.633,favori,favori,0.16578864726479947,0.8342113527352005
8407,1.633,2.4,favori,challenger,0.6235857077359737,0.3764142922640263
8408,1.781,2.12,challenger,favori,0.4820092061030421,0.5179907938969579
8410,1.23,4.5,favori,favori,0.35076651866658815,0.6492334813334119
8411,3.4,1.357,favori,favori,0.15523376273508516,0.8447662372649148
8412,1.526,2.7,challenger,favori,0.2509001375178308,0.7490998624821692
8413,1.345,3.45,favori,favori,0.12027300522839535,0.8797269947716047
8414,1.658,2.34,favori,favori,0.21094142079567424,0.7890585792043258
8415,1.909,1.943,challenger,favori,0.3538246948386091,0.6461753051613909
8416,1.182,5.25,favori,favori,0.4432397221575082,0.5567602778424918
8417,1.862,2.0,challenger,challenger,0.5621806166216409,0.43781938337835913
8418,1.901,1.952,favori,favori,0.29569896028359743,0.7043010397164026
8419,1.294,3.9,favori,favori,0.4052972674331313,0.5947027325668687
8420,1.345,3.45,favori,favori,0.40196226884524844,0.5980377311547516
8421,1.256,4.25,challenger,favori,0.18181386320662263,0.8181861367933774
8422,2.1,1.794,favori,favori,0.10112063327770704,0.898879366722293
8423,1.602,2.48,challenger,favori,0.3051549222911534,0.6948450777088466
8424,1.513,2.72,favori,challenger,0.5122486253254159,0.4877513746745841
8425,1.602,2.48,favori,favori,0.39434180842453737,0.6056581915754626
8426,2.43,1.621,favori,favori,0.4605346706819472,0.5394653293180528
8427,1.901,1.952,challenger,favori,0.24106776380160377,0.7589322361983962
8428,2.78,1.5,challenger,favori,0.2448501953166733,0.7551498046833267
8429,1.602,2.48,challenger,favori,0.1432907453887472,0.8567092546112528
8430,2.02,1.847,challenger,favori,0.3379504828054567,0.6620495171945433
8431,2.65,1.541,favori,favori,0.23410645263149454,0.7658935473685055
8432,1.3230000000000002,3.65,favori,favori,0.26542474601763766,0.7345752539823623
8433,1.645,2.39,favori,favori,0.26149566994836126,0.7385043300516387
8434,1.599,2.49,favori,favori,0.3264381140693231,0.6735618859306769
8435,1.148,6.25,favori,favori,0.3056022900089018,0.6943977099910982
8436,1.211,5.05,favori,favori,0.44724108109575533,0.5527589189042447
8437,1.328,3.6,favori,favori,0.10981914066794174,0.8901808593320583
8438,1.5519999999999998,2.63,favori,favori,0.15667423110854328,0.8433257688914567
8439,1.278,4.1,favori,favori,0.4757941827241787,0.5242058172758213
8440,1.37,3.3,favori,favori,0.1776291575157355,0.8223708424842645
8441,2.4,1.641,challenger,favori,0.344748920116979,0.655251079883021
8442,1.658,2.36,favori,favori,0.21263360902450312,0.7873663909754969
8443,1.862,2.0,favori,favori,0.41186656108118835,0.5881334389188116
8444,1.5519999999999998,2.63,challenger,favori,0.3828498263223389,0.6171501736776611
8445,2.42,1.633,challenger,favori,0.14473957047688546,0.8552604295231145
8446,1.263,4.2,favori,favori,0.20085209600762532,0.7991479039923747
8447,1.4880000000000002,2.8,challenger,favori,0.4512829640685493,0.5487170359314507
8448,2.43,1.629,challenger,favori,0.1286004050030276,0.8713995949969724
8449,1.383,3.26,challenger,favori,0.19840354699731289,0.8015964530026871
8450,1.6669999999999998,2.34,favori,favori,0.3659113544796275,0.6340886455203725
8451,1.526,2.7,favori,favori,0.18228449642683753,0.8177155035731625
8452,1.709,2.25,challenger,favori,0.4199787040751968,0.5800212959248032
8454,1.725,2.2,favori,favori,0.15940741796609992,0.8405925820339001
8461,1.746,2.16,challenger,favori,0.19899462906936694,0.8010053709306331
8466,1.595,2.5,challenger,favori,0.09778302443245568,0.9022169755675443
8468,1.775,2.13,favori,favori,0.23468976827376864,0.7653102317262314
8470,1.167,5.65,favori,favori,0.26341597799073746,0.7365840220092625
8471,1.725,2.22,challenger,favori,0.2352610215903762,0.7647389784096238
8472,1.606,2.49,challenger,favori,0.4291900437089545,0.5708099562910455
8473,1.2990000000000002,3.85,favori,favori,0.35131854139415253,0.6486814586058475
8474,1.5519999999999998,2.65,favori,favori,0.10488301388656018,0.8951169861134398
8475,1.719,2.23,favori,favori,0.41941984050967196,0.580580159490328
8478,3.05,1.426,favori,favori,0.32595609892967436,0.6740439010703256
8479,1.4880000000000002,2.8,challenger,favori,0.19130507116656403,0.808694928833436
8482,1.877,1.98,favori,favori,0.03968070661027401,0.960319293389726
8484,1.364,3.35,favori,favori,0.38862733451306797,0.611372665486932
