,PS_C,PS_F,Vainqueur,Prediction,Proba_Challenger,Proba_Favori
0,2.21,1.719,challenger,favori,0.2797452197775018,0.7202547802224982
1,3.25,1.385,challenger,favori,0.24157739523526833,0.7584226047647317
2,2.18,1.746,favori,favori,0.39409190165630825,0.6059080983436917
3,1.82,2.06,favori,favori,0.45082047224034383,0.5491795277596562
4,2.9,1.455,favori,favori,0.4879713103730555,0.5120286896269445
5,1.463,2.91,challenger,challenger,0.6252648161223715,0.37473518387762855
6,1.971,1.885,favori,favori,0.4123535254876659,0.5876464745123341
7,2.06,1.82,favori,challenger,0.5416864422125043,0.4583135577874958
8,6.85,1.131,favori,favori,0.1572794726355604,0.8427205273644396
9,1.714,2.24,challenger,favori,0.41773704125586886,0.5822629587441311
10,4.55,1.241,favori,favori,0.2541659706899886,0.7458340293100114
11,1.7519999999999998,2.17,favori,favori,0.48081151646337705,0.519188483536623
12,2.21,1.73,favori,challenger,0.5011617567946247,0.49883824320537534
13,2.93,1.459,favori,favori,0.3344662004306155,0.6655337995693845
14,1.862,2.0,challenger,favori,0.42925547356740257,0.5707445264325974
15,5.85,1.154,favori,favori,0.16812091879199487,0.8318790812080051
16,6.5,1.133,favori,favori,0.22326284295477294,0.7767371570452271
17,6.0,1.148,favori,favori,0.13414444050834518,0.8658555594916548
18,1.952,1.901,challenger,challenger,0.5238980321791231,0.4761019678208768
19,2.69,1.529,favori,favori,0.3172847556366615,0.6827152443633385
20,2.9,1.465,challenger,favori,0.39025617452393047,0.6097438254760695
21,3.25,1.392,challenger,favori,0.22540151844873635,0.7745984815512637
22,6.25,1.143,favori,favori,0.09243678968232949,0.9075632103176705
23,3.25,1.392,favori,favori,0.391461774511042,0.608538225488958
24,1.885,1.971,challenger,favori,0.3665765701218513,0.6334234298781487
25,2.27,1.69,favori,favori,0.29655173672447377,0.7034482632755262
26,2.75,1.513,favori,favori,0.33717206645389686,0.6628279335461031
27,1.676,2.3,challenger,favori,0.36413118973549174,0.6358688102645083
28,2.7,1.526,favori,favori,0.3390705949105387,0.6609294050894613
29,2.51,1.592,favori,favori,0.37419999211609467,0.6258000078839053
30,1.633,2.4,favori,challenger,0.5841152754975865,0.4158847245024135
31,2.4,1.633,favori,favori,0.3363916772099359,0.6636083227900641
32,2.12,1.781,challenger,favori,0.2957555145742845,0.7042444854257155
33,4.5,1.23,favori,favori,0.257288183569255,0.742711816430745
34,1.357,3.4,favori,challenger,0.5882335413972299,0.4117664586027701
35,2.7,1.526,challenger,favori,0.3604587209150809,0.6395412790849191
36,3.45,1.345,favori,favori,0.166722098534416,0.833277901465584
37,2.34,1.658,favori,favori,0.327901429466974,0.672098570533026
38,1.943,1.909,challenger,favori,0.4370522446746222,0.5629477553253778
39,5.25,1.182,favori,favori,0.14864299742892995,0.85135700257107
40,2.0,1.862,challenger,favori,0.49517222846446507,0.5048277715355349
41,1.952,1.901,favori,favori,0.41027992995771667,0.5897200700422833
42,3.9,1.294,favori,favori,0.1754059224035085,0.8245940775964915
43,3.45,1.345,favori,favori,0.20466747834669619,0.7953325216533038
44,4.25,1.256,challenger,favori,0.1845365804513407,0.8154634195486593
45,1.794,2.1,favori,favori,0.39690394707476584,0.6030960529252342
46,2.48,1.602,challenger,favori,0.41290680373204447,0.5870931962679555
47,2.72,1.513,favori,favori,0.2948010330723594,0.7051989669276406
48,2.48,1.602,favori,favori,0.2770090176654414,0.7229909823345586
49,1.621,2.43,favori,challenger,0.5540136104735902,0.44598638952640973
50,1.952,1.901,challenger,favori,0.33522920371530585,0.6647707962846942
51,1.5,2.78,challenger,challenger,0.6172731275483874,0.3827268724516126
52,2.48,1.602,challenger,favori,0.46124741143744974,0.5387525885625503
53,1.847,2.02,challenger,favori,0.4940682439223455,0.5059317560776545
54,1.541,2.65,favori,challenger,0.5869849712698572,0.41301502873014284
55,3.65,1.3230000000000002,favori,favori,0.3579388131269442,0.6420611868730558
56,2.39,1.645,favori,favori,0.3461840372221261,0.6538159627778739
57,2.49,1.599,favori,favori,0.30742937014580407,0.6925706298541959
58,6.25,1.148,favori,favori,0.1505851989235063,0.8494148010764937
59,5.05,1.211,favori,favori,0.18139120882741822,0.8186087911725818
60,3.6,1.328,favori,favori,0.30805923053388273,0.6919407694661173
61,2.63,1.5519999999999998,favori,favori,0.3973894177638194,0.6026105822361806
62,4.1,1.278,favori,favori,0.1940437004750536,0.8059562995249464
63,3.3,1.37,favori,favori,0.3424036659667,0.6575963340333
64,1.641,2.4,challenger,favori,0.4626807126874045,0.5373192873125955
65,2.36,1.658,favori,favori,0.2871944925546607,0.7128055074453393
66,2.0,1.862,favori,challenger,0.5253889188795626,0.47461108112043743
67,2.63,1.5519999999999998,challenger,favori,0.2882831268391588,0.7117168731608412
68,1.633,2.42,challenger,challenger,0.6584670154839909,0.34153298451600905
69,4.2,1.263,favori,favori,0.2955441721574429,0.7044558278425571
70,2.8,1.4880000000000002,challenger,favori,0.3248886537728911,0.6751113462271089
71,1.629,2.43,challenger,favori,0.4049363724364513,0.5950636275635487
72,3.26,1.383,challenger,favori,0.1870052965033998,0.8129947034966002
73,2.34,1.6669999999999998,favori,favori,0.38108613861007923,0.6189138613899208
74,2.7,1.526,favori,favori,0.42231592057221135,0.5776840794277887
75,2.25,1.709,challenger,favori,0.45832579636311144,0.5416742036368886
76,2.2,1.725,favori,favori,0.35224610709924964,0.6477538929007504
77,2.16,1.746,challenger,favori,0.4118347610195846,0.5881652389804154
78,2.5,1.595,challenger,favori,0.4743293058052409,0.5256706941947591
79,2.13,1.775,favori,favori,0.3600259588029757,0.6399740411970243
80,5.65,1.167,favori,favori,0.1676284069065478,0.8323715930934522
81,2.22,1.725,challenger,favori,0.3986418882143341,0.6013581117856659
82,2.49,1.606,challenger,favori,0.3172806100988895,0.6827193899011105
83,3.85,1.2990000000000002,favori,favori,0.14550171831029246,0.8544982816897075
84,2.65,1.5519999999999998,favori,favori,0.42071893268097715,0.5792810673190228
85,2.23,1.719,favori,challenger,0.5982156095889968,0.4017843904110032
86,1.426,3.05,favori,challenger,0.5318699903581885,0.46813000964181156
87,2.8,1.4880000000000002,challenger,favori,0.3522876800167897,0.6477123199832103
88,1.98,1.877,favori,challenger,0.5114439677711209,0.48855603222887906
89,3.35,1.364,favori,favori,0.28371781415293407,0.7162821858470659
90,3.05,1.408,challenger,favori,0.3832515042489769,0.6167484957510231
91,1.735,2.2,challenger,favori,0.48344405533511936,0.5165559446648806
92,2.7,1.5319999999999998,favori,favori,0.20933802298432902,0.790661977015671
93,1.602,2.5,favori,challenger,0.5529564544820402,0.4470435455179598
94,2.95,1.455,favori,favori,0.13986662251277693,0.8601333774872231
95,2.55,1.578,favori,favori,0.4216199087273875,0.5783800912726125
96,2.37,1.654,favori,favori,0.35729634154262446,0.6427036584573755
97,3.28,1.3730000000000002,favori,favori,0.19571496577317715,0.8042850342268228
98,1.556,2.62,challenger,challenger,0.5618595750869033,0.43814042491309674
99,2.2,1.735,challenger,favori,0.31333004351179283,0.6866699564882072
100,4.95,1.208,favori,favori,0.17883616573365846,0.8211638342663415
101,2.25,1.709,favori,favori,0.3125111146595515,0.6874888853404485
102,2.3,1.685,favori,favori,0.30827440459308864,0.6917255954069114
103,2.62,1.5490000000000002,challenger,favori,0.3245049667773625,0.6754950332226375
104,4.65,1.235,favori,favori,0.33041482685563717,0.6695851731443628
105,2.75,1.513,favori,favori,0.2707550655559965,0.7292449344440035
106,2.58,1.575,favori,favori,0.4625538899411099,0.5374461100588901
107,3.55,1.339,challenger,favori,0.23188172306233534,0.7681182769376647
108,1.893,1.962,challenger,favori,0.47957484374726234,0.5204251562527377
109,5.0,1.211,favori,favori,0.14060637527740816,0.8593936247225918
110,3.65,1.3230000000000002,favori,favori,0.3499748129330488,0.6500251870669512
111,1.709,2.25,challenger,favori,0.4287455400670851,0.5712544599329149
112,4.6,1.235,favori,favori,0.23843006258837807,0.7615699374116219
113,1.847,2.02,challenger,favori,0.3385677092766135,0.6614322907233865
114,1.129,7.0,challenger,challenger,0.6453314971975403,0.35466850280245965
115,1.694,2.28,favori,favori,0.33127348743968155,0.6687265125603185
116,3.75,1.3130000000000002,favori,favori,0.3431516116251925,0.6568483883748075
117,23.5,1.029,favori,favori,0.07790083203311804,0.922099167966882
118,2.72,1.513,challenger,favori,0.3407099563987467,0.6592900436012533
119,3.05,1.435,challenger,favori,0.3874806425060209,0.6125193574939791
120,4.15,1.274,challenger,favori,0.22719385407677395,0.772806145923226
121,4.95,1.213,favori,favori,0.2939257705000593,0.7060742294999407
122,3.75,1.308,favori,favori,0.16895839484098107,0.8310416051590189
123,3.65,1.3230000000000002,favori,favori,0.20688705314494338,0.7931129468550566
124,1.98,1.877,favori,challenger,0.5099398146127153,0.4900601853872847
125,3.5,1.345,challenger,favori,0.20980967249090154,0.7901903275090985
126,4.55,1.241,favori,favori,0.15459297651151338,0.8454070234884866
127,9.75,1.08,favori,favori,0.15808208138264357,0.8419179186173564
128,3.55,1.3330000000000002,favori,favori,0.24159664353997812,0.7584033564600219
129,4.35,1.25,favori,favori,0.343776408303741,0.656223591696259
130,2.6,1.556,challenger,favori,0.41310919610493047,0.5868908038950695
131,1.735,2.2,favori,favori,0.42658364533289883,0.5734163546671012
132,1.571,2.59,favori,favori,0.4007805917613638,0.5992194082386362
133,3.6,1.3330000000000002,favori,favori,0.29545371031452894,0.7045462896854711
134,2.56,1.575,challenger,favori,0.4090058075225711,0.5909941924774289
135,3.8,1.308,favori,favori,0.32314572709588196,0.676854272904118
136,3.2,1.4169999999999998,favori,favori,0.17571908710418482,0.8242809128958152
137,2.52,1.595,challenger,favori,0.31613146529503344,0.6838685347049666
138,4.65,1.233,favori,favori,0.21235930911845202,0.787640690881548
139,2.27,1.69,favori,favori,0.3810010176790617,0.6189989823209383
140,14.5,1.057,favori,favori,0.07361995320213088,0.9263800467978691
141,10.0,1.083,favori,favori,0.1605615693560083,0.8394384306439917
142,18.5,1.041,favori,favori,0.09346683977251158,0.9065331602274884
143,1.82,2.06,challenger,favori,0.37695239777405387,0.6230476022259461
144,2.32,1.676,favori,favori,0.41631977643732354,0.5836802235626765
145,4.0,1.29,favori,favori,0.3506414503062477,0.6493585496937523
146,1.568,2.6,favori,favori,0.4977448934289157,0.5022551065710843
147,1.595,2.5,challenger,favori,0.3736186031690597,0.6263813968309403
148,2.55,1.585,challenger,favori,0.3533488465637945,0.6466511534362055
149,4.75,1.227,favori,favori,0.26192225790260437,0.7380777420973956
150,2.58,1.575,challenger,favori,0.2730824067766623,0.7269175932233377
151,1.556,2.64,challenger,favori,0.425872693741016,0.574127306258984
152,8.0,1.108,favori,favori,0.07092871083503927,0.9290712891649607
153,1.649,2.38,favori,challenger,0.5188608796304328,0.4811391203695672
154,2.36,1.658,challenger,favori,0.39083149869012,0.60916850130988
155,2.07,1.813,challenger,favori,0.4432388808240335,0.5567611191759665
156,3.79,1.304,favori,favori,0.1735137344376615,0.8264862655623385
157,1.529,2.71,challenger,favori,0.3692810753940575,0.6307189246059425
158,16.0,1.048,favori,favori,0.0713109142831273,0.9286890857168727
159,1.592,2.53,challenger,favori,0.475070052358195,0.524929947641805
160,5.6,1.16,favori,favori,0.21895029808970512,0.7810497019102949
161,2.7,1.526,favori,favori,0.31559343587486155,0.6844065641251385
162,3.1,1.408,challenger,favori,0.3312098261824963,0.6687901738175037
163,17.0,1.047,favori,favori,0.0852745976899395,0.9147254023100605
164,3.15,1.408,favori,favori,0.3023130859215645,0.6976869140784355
165,1.68,2.31,favori,favori,0.3577873404123646,0.6422126595876354
166,1.3130000000000002,3.75,challenger,challenger,0.5604957691845671,0.43950423081543283
167,2.02,1.847,favori,favori,0.27524329369726963,0.7247567063027304
168,5.0,1.204,favori,favori,0.27514704806366186,0.7248529519363381
169,3.3,1.3769999999999998,favori,favori,0.3679592264788766,0.6320407735211234
170,1.862,2.0,challenger,challenger,0.5325165694896131,0.4674834305103869
171,5.65,1.171,favori,favori,0.2630287218267736,0.7369712781732264
172,5.46,1.178,favori,favori,0.2570938066526015,0.7429061933473985
173,21.0,1.036,favori,favori,0.05644536493205121,0.9435546350679488
174,7.25,1.121,favori,favori,0.2129262592013773,0.7870737407986227
175,1.8,2.09,favori,favori,0.43642333055207805,0.563576669447922
176,5.25,1.182,favori,favori,0.18055658895005489,0.8194434110499451
177,3.15,1.4169999999999998,favori,favori,0.26245017832845896,0.737549821671541
